Window,Thread Count,Error Rate Avg,Error Rate Min,Error Rate Max,Ideal Error Rate,Rejection Rate Avg,Rejection Rate Min,Rejection Rate Max,Integral Avg,Integral Min,Integral Max,Derivative Avg,Derivative Min,Derivative Max,P Value Avg,P Value Min,P Value Max,Total Request Time
13,59,1.4,0.0,5.0,2.39,0.0,0.0,0.0,-0.2877,-0.3985,-0.029,0.0,0.0,0.0,-0.0117,-0.0332,0.0112,809.37
14,60,1.34,0.0,4.04,1.74,0.0,0.0,0.0,-0.3003,-0.4158,-0.0365,0.0,0.0,0.0,-0.0111,-0.0306,0.0109,868.43
15,58,1.44,0.0,4.04,1.6,0.0,0.0,0.0,-0.3079,-0.4231,-0.0424,0.0,0.0,0.0,-0.0094,-0.0282,0.0109,929.39
16,63,1.41,0.0,4.04,1.48,0.0,0.0,0.0,-0.3212,-0.4431,-0.048,0.0,0.0,0.0,-0.0085,-0.026,0.0117,989.31
17,58,1.5,0.0,4.08,2.87,0.0,0.0,0.0,-0.3239,-0.4499,-0.0534,0.0,0.0,0.0,-0.0073,-0.0249,0.0117,1049.4
18,60,1.48,0.0,5.0,1.26,0.0,0.0,0.0,-0.3323,-0.4676,-0.0493,0.0,0.0,0.0,-0.0067,-0.0269,0.0184,1109.45
19,59,1.41,0.0,4.04,2.49,0.0,0.0,0.0,-0.3365,-0.4715,-0.0543,0.0,0.0,0.0,-0.0069,-0.0261,0.0183,1168.84
20,60,1.23,0.0,4.04,1.07,0.0,0.0,0.0,-0.3454,-0.4814,-0.0789,0.0,0.0,0.0,-0.0078,-0.026,0.0183,1229.23
21,61,1.08,0.0,4.04,1.91,0.0,0.0,0.0,-0.3573,-0.4912,-0.1003,0.0,0.0,0.0,-0.0083,-0.0276,0.0157,1288.93
22,60,1.11,0.0,4.04,1.84,0.0,0.0,0.0,-0.3628,-0.4999,-0.1183,0.0,0.0,0.0,-0.0075,-0.0254,0.0157,1349.16
23,61,1.13,0.0,4.04,2.16,0.0,0.0,0.0,-0.3675,-0.5076,-0.1475,0.0,-0.0,-0.0,-0.0068,-0.0274,0.0135,1409.3
24,57,1.03,0.0,3.06,2.08,0.0,0.0,0.0,-0.3807,-0.5152,-0.1708,0.0,0.0,0.0,-0.0067,-0.0283,0.0129,1469.33
25,61,1.04,0.0,3.06,2.37,0.0,0.0,0.0,-0.3824,-0.5228,-0.1927,0.0,-0.0,-0.0,-0.0063,-0.0261,0.0225,1529.29
26,60,1.04,0.0,4.0,0.93,0.0,0.0,0.0,-0.3897,-0.529,-0.2137,0.0,0.0,0.0,-0.0056,-0.0241,0.0228,1588.85
27,59,1.06,0.0,3.06,1.68,0.0,0.0,0.0,-0.3918,-0.5345,-0.2319,0.0,-0.0,-0.0,-0.0051,-0.0222,0.0228,1649.61
28,59,0.92,0.0,3.06,0.56,0.0,0.0,0.0,-0.3986,-0.5444,-0.2475,0.0,0.0,0.0,-0.0058,-0.0278,0.0227,1708.77
29,58,1.11,0.0,3.06,0.66,0.0,0.0,0.0,-0.4024,-0.5246,-0.2398,0.0,0.0,0.0,-0.0033,-0.0257,0.0227,1768.86
30,62,1.12,0.0,4.04,0.67,0.0,0.0,0.0,-0.4031,-0.5495,-0.2417,0.0,0.0,0.0,-0.003,-0.0237,0.0223,1829.45
31,62,1.14,0.0,4.04,1.94,0.0,0.0,0.0,-0.4061,-0.5543,-0.2431,0.0,-0.0,-0.0,-0.0024,-0.0218,0.0226,1888.93
32,60,1.08,0.0,3.09,1.73,0.0,0.0,0.0,-0.4124,-0.5615,-0.2455,0.0,0.0,0.0,-0.0024,-0.0168,0.0223,1949.1
33,60,1.09,0.0,4.04,1.64,0.0,0.0,0.0,-0.4125,-0.5647,-0.2226,0.0,0.0,0.0,-0.0019,-0.0197,0.0323,2008.85
34,59,1.01,0.0,4.08,0.67,0.0,0.0,0.0,-0.4149,-0.5677,-0.2036,0.0,-0.0,-0.0,-0.0023,-0.0167,0.0191,2068.69
35,59,1.04,0.0,4.08,1.3,0.0,0.0,0.0,-0.4161,-0.5707,-0.1838,0.0,-0.0,-0.0,-0.0014,-0.0154,0.0191,2129.59
36,59,1.11,0.0,4.04,1.74,0.0,0.0,0.0,-0.4136,-0.5733,-0.1741,0.0,-0.0,-0.0,-0.0008,-0.0152,0.0239,2188.99
37,61,1.04,0.0,4.08,0.77,0.0,0.0,0.0,-0.4205,-0.576,-0.1838,0.0,0.0,0.0,-0.0008,-0.014,0.0242,2249.1
38,56,1.04,0.0,3.06,1.71,0.0,0.0,0.0,-0.4102,-0.5461,-0.1941,0.0,0.0,0.0,-0.0012,-0.0138,0.0201,2309.25
39,59,0.9,0.0,3.06,1.4,0.0,0.0,0.0,-0.4236,-0.5803,-0.2037,0.0,0.0,0.0,-0.0013,-0.0119,0.0201,2368.71
40,59,0.92,0.0,4.04,1.61,0.0,0.0,0.0,-0.4241,-0.5822,-0.2208,0.0,0.0,0.0,-0.001,-0.0177,0.021,2429.04
41,63,1.06,0.0,4.08,0.83,0.0,0.0,0.0,-0.4173,-0.5839,-0.2226,0.0,0.0,0.0,0.0003,-0.0164,0.0302,2488.47
42,57,0.88,0.0,4.04,0.25,0.0,0.0,0.0,-0.4252,-0.5855,-0.2285,0.0,0.0,0.0,-0.0008,-0.0153,0.0297,2549.14
43,59,0.92,0.0,4.04,0.49,0.0,0.0,0.0,-0.4201,-0.5871,-0.231,0.0,0.0,0.0,-0.0003,-0.0141,0.0297,2608.89
44,61,0.94,0.0,4.08,1.96,0.0,0.0,0.0,-0.4208,-0.5885,-0.2194,0.0,0.0,0.0,0.0002,-0.0139,0.03,2668.82
45,59,0.94,0.0,4.08,0.2,0.0,0.0,0.0,-0.4191,-0.5897,-0.1973,0.0,0.0,0.0,0.0004,-0.0137,0.0296,2729.33
46,60,0.94,0.0,4.04,0.37,0.0,0.0,0.0,-0.421,-0.5804,-0.1865,0.0,0.0,0.0,0.0009,-0.0137,0.0287,2788.47
47,60,0.94,0.0,4.04,0.65,0.0,0.0,0.0,-0.4182,-0.5772,-0.1848,0.0,0.0,0.0,0.0009,-0.0118,0.0286,2848.08
48,61,0.89,0.0,4.04,0.13,0.0,0.0,0.0,-0.4177,-0.5801,-0.184,0.0,-0.0,-0.0,0.0009,-0.0126,0.0286,2909.58
49,61,0.91,0.0,4.04,0.57,0.0,0.0,0.0,-0.4159,-0.5828,-0.189,0.0,0.0,0.0,0.0013,-0.0108,0.0285,2969.14
50,58,0.94,0.0,4.04,0.27,0.0,0.0,0.0,-0.4202,-0.5853,-0.1773,0.0,0.0,0.0,0.0019,-0.0136,0.0294,3028.48
51,61,0.98,0.0,4.04,0.6,0.0,0.0,0.0,-0.4115,-0.5876,-0.1618,0.0,-0.0,-0.0,0.0024,-0.0128,0.0284,3088.93
52,59,1.11,0.0,5.05,1.18,0.02,0.0,0.9,-0.4023,-0.59,-0.1435,0.0,0.0,0.0,0.0035,-0.0118,0.047,3148.65
53,65,1.04,0.0,5.0,0.35,0.0,0.0,0.0,-0.4081,-0.592,-0.1231,0.0,-0.0,-0.0,0.0033,-0.0109,0.0464,3208.97
54,55,1.12,0.0,5.05,0.97,0.0,0.0,0.0,-0.3967,-0.5941,-0.1042,0.0,0.0,0.0,0.0042,-0.0098,0.0468,3269.04
55,61,1.09,0.0,4.04,1.02,0.02,0.0,1.46,-0.3993,-0.596,-0.0729,0.0,-0.0,-0.0,0.0042,-0.0111,0.0367,3328.22
56,61,1.03,0.0,4.08,1.08,0.03,0.0,1.82,-0.3983,-0.5978,-0.0573,0.0,-0.0,-0.0,0.0035,-0.0103,0.0366,3388.99
57,62,1.16,0.0,4.04,0.43,0.01,0.0,0.86,-0.3911,-0.5993,-0.0556,0.0,-0.0,-0.0,0.0048,-0.0095,0.0354,3448.93
58,59,1.13,0.0,5.0,1.21,0.02,0.0,1.06,-0.3835,-0.6007,-0.0443,0.0,-0.0,-0.0,0.0048,-0.0087,0.0449,3508.77
59,58,1.13,0.0,6.0,0.4,0.01,0.0,0.48,-0.3784,-0.602,-0.0567,0.0,0.0,0.0,0.0049,-0.0115,0.0548,3568.95
60,62,1.61,0.0,6.93,1.07,0.04,0.0,2.52,-0.3665,-0.6032,-0.0575,0.0,0.0,0.0,0.0098,-0.0098,0.0595,3628.82
61,59,3.26,0.0,9.71,1.19,0.19,0.0,6.89,-0.3472,-0.5505,-0.0472,0.0,0.0,0.0,0.0261,-0.0028,0.0687,3689.56
62,58,5.01,1.03,10.58,0.65,0.99,0.0,7.69,-0.3015,-0.4966,-0.0101,0.0,-0.0,-0.0,0.0421,0.0077,0.1012,3748.57
63,61,7.11,3.03,12.38,0.39,2.6,0.0,11.38,-0.2447,-0.4328,0.0407,0.0,0.0,0.0,0.0556,0.0132,0.1191,3809.25
64,56,9.51,5.0,15.74,0.4,5.64,0.0,15.8,-0.178,-0.3503,0.0471,0.0,0.0,0.0,0.0659,0.0065,0.1113,3868.66
65,63,11.08,5.0,18.92,0.68,8.6,0.0,20.1,-0.1282,-0.3688,0.0556,0.0,0.0,0.0,0.0572,-0.0079,0.1153,3929.2
66,58,13.27,6.93,21.24,0.55,12.54,0.72,25.49,-0.0681,-0.3039,0.0878,0.0,-0.0,-0.0,0.0472,0.0026,0.087,3988.96
67,60,15.04,6.93,23.48,0.37,15.58,2.58,30.08,-0.0367,-0.2035,0.1125,0.0,-0.0,-0.0,0.0419,-0.0099,0.098,4048.75
68,61,16.61,6.93,24.14,0.59,18.54,3.61,32.07,-0.0041,-0.159,0.0995,0.0,-0.0,-0.0,0.0316,-0.0133,0.0811,4108.66
69,61,18.23,8.74,26.5,0.59,21.53,6.64,35.29,0.0221,-0.1042,0.1149,0.0,-0.0,-0.0,0.0242,-0.0122,0.0695,4168.55
70,60,19.69,10.58,26.27,0.37,24.1,9.68,36.71,0.04,-0.0626,0.1149,0.0,-0.0,-0.0,0.019,-0.0372,0.0751,4228.89
71,58,20.39,12.38,29.17,0.47,25.65,13.01,40.2,0.0453,-0.0316,0.1199,0.0,0.0,0.0,0.0048,-0.0358,0.0611,4288.69
72,58,20.7,14.02,29.75,0.59,26.35,15.32,43.17,0.0434,-0.0165,0.1412,0.0,-0.0,-0.0,-0.0033,-0.0569,0.0567,4348.92
73,60,20.67,14.15,31.71,0.48,26.21,15.88,47.37,0.0367,-0.0355,0.145,0.0,-0.0,-0.0,-0.0054,-0.0735,0.0504,4408.61
74,59,20.57,13.21,30.33,0.68,25.94,14.6,46.08,0.0268,-0.0469,0.1179,0.0,0.0,0.0,-0.0093,-0.0518,0.0421,4464.93
75,62,20.39,13.33,31.97,0.59,25.5,14.87,46.84,0.0166,-0.0586,0.1242,0.0,-0.0,-0.0,-0.0118,-0.0763,0.0466,4517.08
76,61,20.45,12.62,30.51,1.13,25.33,11.96,44.94,0.0153,-0.0899,0.0919,0.0,-0.0,-0.0,-0.0027,-0.0458,0.0499,4568.07
77,58,20.21,11.0,29.09,1.13,24.85,9.42,40.11,0.0104,-0.0839,0.0825,0.0,0.0,0.0,-0.0029,-0.0436,0.0505,4618.6
78,62,20.22,12.0,29.2,0.34,24.81,10.76,40.53,0.005,-0.0753,0.1005,0.0,0.0,0.0,-0.0042,-0.0646,0.0604,4670.09
79,59,19.98,12.37,30.0,1.06,24.42,11.69,42.68,0.0051,-0.108,0.1212,0.0,0.0,0.0,-0.0019,-0.0751,0.0537,4718.33
80,59,19.73,12.5,32.11,0.71,24.04,12.14,46.32,-0.0014,-0.0946,0.1097,0.0,0.0,0.0,-0.0061,-0.0656,0.0466,4774.68
81,59,17.57,10.53,27.62,0.65,20.66,9.54,39.21,-0.0296,-0.1188,0.0521,0.0,-0.0,-0.0,-0.0272,-0.0853,0.018,4834.21
82,57,15.9,9.47,24.0,1.13,17.67,7.95,31.4,-0.05,-0.1805,0.0235,0.0,-0.0,-0.0,-0.0226,-0.0963,0.0149,4894.34
83,62,13.71,6.59,24.0,0.55,14.11,3.53,29.37,-0.0714,-0.1667,-0.0112,0.0,-0.0,-0.0,-0.0211,-0.0887,0.0198,4954.64
84,62,12.06,3.33,21.43,0.67,11.57,0.01,25.04,-0.0807,-0.1528,-0.0286,0.0,0.0,0.0,-0.0087,-0.054,0.0415,5014.12
85,59,9.93,2.22,17.71,0.87,8.66,0.0,18.73,-0.0908,-0.1826,-0.0376,0.0,0.0,0.0,-0.0083,-0.0614,0.0377,5074.64
86,60,8.27,1.1,14.14,0.59,6.56,0.0,14.62,-0.0943,-0.1621,-0.0445,0.0,0.0,0.0,-0.0053,-0.0356,0.0276,5134.46
87,61,6.19,2.13,13.4,0.88,4.05,0.0,11.41,-0.1006,-0.1486,-0.0553,0.0,-0.0,-0.0,-0.0046,-0.039,0.0309,5193.73
88,58,4.27,0.0,9.28,0.71,2.05,0.0,7.81,-0.1016,-0.1629,-0.0448,0.0,0.0,0.0,-0.002,-0.0303,0.0337,5254.71
89,60,2.96,0.0,8.16,0.97,0.96,0.0,6.79,-0.0998,-0.1648,-0.0464,0.0,0.0,0.0,0.0019,-0.0418,0.0275,5314.83
90,60,1.4,0.0,5.05,0.72,0.18,0.0,2.55,-0.102,-0.1864,-0.0409,0.0,-0.0,-0.0,-0.0021,-0.0341,0.0203,5373.83
91,58,1.16,0.0,5.0,0.72,0.11,0.0,3.94,-0.0994,-0.1853,-0.0227,0.0,0.0,0.0,0.0035,-0.0104,0.0197,5434.9
92,61,1.27,0.0,5.0,1.03,0.25,0.0,4.08,-0.0934,-0.1843,-0.0179,0.0,0.0,0.0,0.0047,-0.0095,0.0242,5493.49
93,59,1.11,0.0,4.04,0.41,0.17,0.0,2.97,-0.0918,-0.1832,-0.0238,0.0,0.0,0.0,0.0027,-0.0104,0.0188,5554.57
94,60,1.07,0.0,4.04,1.04,0.23,0.0,3.06,-0.0885,-0.1822,-0.0199,0.0,-0.0,-0.0,0.0026,-0.0096,0.0218,5614.76
95,59,1.15,0.0,4.04,0.44,0.31,0.0,3.32,-0.085,-0.187,-0.0161,0.0,-0.0,-0.0,0.0027,-0.0121,0.019,5674.23
96,61,1.09,0.0,5.0,0.89,0.27,0.0,4.57,-0.0828,-0.1894,-0.0066,0.0,0.0,0.0,0.0024,-0.0107,0.0189,5734.3
97,60,0.99,0.0,5.0,1.04,0.3,0.0,3.45,-0.0822,-0.1979,0.0018,0.0,-0.0,-0.0,0.0014,-0.0111,0.0161,5794.56
98,60,0.99,0.0,4.04,1.04,0.26,0.0,2.23,-0.0809,-0.2052,-0.0041,0.0,-0.0,-0.0,0.0012,-0.0099,0.014,5854.44
99,59,0.97,0.0,4.04,0.36,0.24,0.0,2.28,-0.08,-0.2114,-0.0072,0.0,-0.0,-0.0,0.0016,-0.0194,0.0175,5914.14
100,59,0.9,0.0,3.06,0.58,0.23,0.0,2.35,-0.0785,-0.2175,-0.0068,0.0,0.0,0.0,0.0013,-0.0103,0.0141,5974.14
101,58,0.92,0.0,3.06,0.86,0.22,0.0,1.66,-0.0756,-0.2136,-0.0126,0.0,-0.0,-0.0,0.0015,-0.0095,0.0172,6034.8
102,62,0.83,0.0,2.06,0.52,0.18,0.0,1.71,-0.0745,-0.2099,-0.0103,0.0,-0.0,-0.0,0.0008,-0.0088,0.013,6094.36
103,60,0.87,0.0,3.06,0.52,0.21,0.0,2.27,-0.0752,-0.2125,-0.0082,0.0,-0.0,-0.0,0.0018,-0.0084,0.0184,6154.18
104,59,0.87,0.0,2.06,0.91,0.22,0.0,1.78,-0.0712,-0.2159,0.0015,0.0,-0.0,-0.0,0.0016,-0.0079,0.0174,6214.89
105,60,0.89,0.0,3.06,0.32,0.25,0.0,2.55,-0.0713,-0.2193,0.0043,0.0,-0.0,-0.0,0.0018,-0.0094,0.0175,6274.3
106,60,0.84,0.0,3.06,0.32,0.26,0.0,1.82,-0.0709,-0.2223,0.0035,0.0,-0.0,-0.0,0.001,-0.0103,0.0227,6334.17
107,59,0.8,0.0,3.06,0.65,0.31,0.0,2.64,-0.0687,-0.225,0.0008,0.0,0.0,0.0,0.0011,-0.0154,0.0183,6394.36
108,60,0.96,0.0,3.06,0.91,0.41,0.0,2.69,-0.0675,-0.2275,0.0087,0.0,0.0,0.0,0.0018,-0.0096,0.0212,6454.26
109,60,0.94,0.0,3.06,0.87,0.39,0.0,2.69,-0.0625,-0.2196,0.0076,0.0,-0.0,-0.0,0.0009,-0.0093,0.0125,6514.33
110,55,0.79,0.0,2.06,0.23,0.23,0.0,1.55,-0.0701,-0.2139,-0.0013,0.0,0.0,0.0,0.001,-0.0118,0.014,6573.74
111,62,0.96,0.0,3.06,0.35,0.37,0.0,2.69,-0.0618,-0.2161,0.0058,0.0,0.0,0.0,0.002,-0.01,0.022,6634.78
112,61,1.04,0.0,3.06,0.33,0.4,0.0,2.7,-0.0597,-0.2181,0.0048,0.0,-0.0,-0.0,0.0029,-0.0107,0.0186,6694.1
113,60,1.13,0.0,3.06,0.42,0.57,0.0,2.74,-0.0597,-0.2203,0.0042,0.0,-0.0,-0.0,0.0027,-0.0065,0.023,6754.68
114,56,1.08,0.0,4.04,0.18,0.54,0.0,3.51,-0.0526,-0.222,0.0036,0.0,-0.0,-0.0,0.0012,-0.0107,0.0188,6814.37
115,62,1.04,0.0,4.04,0.81,0.5,0.0,3.65,-0.0562,-0.2237,0.0052,0.0,-0.0,-0.0,0.0015,-0.0104,0.0172,6873.95
116,59,1.01,0.0,4.04,0.4,0.56,0.0,3.73,-0.0517,-0.2254,0.0109,0.0,0.0,0.0,0.0013,-0.0111,0.0186,6934.5
117,59,1.09,0.0,5.05,0.27,0.63,0.0,5.06,-0.0513,-0.218,0.0093,0.0,-0.0,-0.0,0.0016,-0.0097,0.0182,6994.29
118,62,0.99,0.0,5.05,0.76,0.54,0.0,5.13,-0.0515,-0.2199,0.012,0.0,-0.0,-0.0,0.0002,-0.0197,0.0142,7054.64
119,56,1.02,0.0,5.05,0.37,0.55,0.0,5.13,-0.0508,-0.2215,0.0058,0.0,0.0,0.0,0.0021,-0.0087,0.019,7113.92
120,61,1.11,0.0,5.05,0.37,0.61,0.0,5.11,-0.0497,-0.2193,0.0046,0.0,-0.0,-0.0,0.0016,-0.0122,0.0208,7174.44
121,59,1.08,0.0,4.04,0.48,0.59,0.0,3.84,-0.0446,-0.2212,0.0009,0.0,0.0,0.0,0.0009,-0.0111,0.0161,7234.79
122,58,1.06,0.0,4.04,0.76,0.5,0.0,3.82,-0.0466,-0.2229,-0.0006,0.0,-0.0,-0.0,0.0013,-0.0104,0.0158,7293.59
123,59,0.99,0.0,3.06,0.41,0.48,0.0,2.69,-0.0446,-0.2247,0.0019,0.0,0.0,0.0,0.0019,-0.0206,0.016,7354.42
124,62,1.16,0.0,3.06,0.48,0.6,0.0,2.85,-0.0401,-0.2261,0.0047,0.0,-0.0,-0.0,0.0031,-0.0099,0.0291,7414.25
125,58,1.17,0.0,3.06,0.16,0.66,0.0,2.89,-0.0397,-0.2274,0.0143,0.0,-0.0,-0.0,0.0025,-0.0175,0.0207,7474.2
126,64,1.11,0.0,4.04,0.78,0.65,0.0,4.11,-0.036,-0.2189,0.0119,0.0,-0.0,-0.0,0.0019,-0.0108,0.0195,7534.19
127,59,1.14,0.0,3.06,0.25,0.71,0.0,2.99,-0.0352,-0.2095,0.0121,0.0,-0.0,-0.0,0.0015,-0.0119,0.0188,7593.56
128,58,1.13,0.0,4.04,0.26,0.76,0.0,4.19,-0.0333,-0.2008,0.0204,0.0,0.0,0.0,0.0012,-0.0108,0.0239,7654.44
129,62,1.02,0.0,3.06,0.39,0.67,0.0,2.92,-0.0335,-0.1915,0.0064,0.0,0.0,0.0,0.0004,-0.0195,0.0287,7713.65
130,60,1.02,0.0,3.06,1.29,0.71,0.0,2.94,-0.0335,-0.1821,0.005,0.0,0.0,0.0,0.0002,-0.0119,0.0158,7774.0
131,59,1.09,0.0,3.06,0.15,0.72,0.0,2.97,-0.0321,-0.1753,0.0036,0.0,0.0,0.0,0.001,-0.011,0.0291,7833.88
132,61,1.06,0.0,3.06,0.49,0.71,0.0,3.01,-0.0311,-0.1785,0.0032,0.0,-0.0,-0.0,0.0007,-0.0107,0.029,7893.97
133,58,0.92,0.0,3.06,0.09,0.54,0.0,2.85,-0.0331,-0.1816,0.0024,0.0,0.0,0.0,0.0003,-0.0282,0.0249,7954.1
134,58,1.01,0.0,4.0,0.23,0.66,0.0,3.01,-0.0306,-0.1841,0.0076,0.0,0.0,0.0,0.0014,-0.0104,0.0304,8014.1
135,63,1.03,0.0,5.05,0.39,0.71,0.0,4.09,-0.0284,-0.1864,0.0076,0.0,-0.0,-0.0,0.0014,-0.0108,0.0256,8074.07
136,58,0.99,0.0,4.0,0.15,0.72,0.0,3.05,-0.0286,-0.1887,0.0062,0.0,-0.0,-0.0,-0.0001,-0.0114,0.0131,8134.27
137,62,0.89,0.0,4.04,0.53,0.61,0.0,3.22,-0.0299,-0.1908,0.0069,0.0,-0.0,-0.0,0.0002,-0.0177,0.0201,8194.28
138,60,0.94,0.0,4.04,0.28,0.66,0.0,3.36,-0.0279,-0.1925,0.0061,0.0,-0.0,-0.0,0.0005,-0.0192,0.0203,8253.49
139,58,0.99,0.0,4.04,0.41,0.71,0.0,3.47,-0.0269,-0.1838,0.0118,0.0,0.0,0.0,0.0008,-0.0109,0.02,8314.32
140,63,2.12,0.0,7.84,0.28,1.85,0.0,8.28,-0.0148,-0.1757,0.0451,0.0,-0.0,-0.0,0.0125,-0.0181,0.0772,8374.41
141,60,10.44,3.03,18.92,0.17,11.88,2.46,23.68,0.0721,-0.1217,0.1694,0.0,0.0,0.0,0.0843,0.007,0.1633,8434.54
142,60,17.75,7.84,26.27,0.2,22.77,8.67,36.83,0.1488,-0.0265,0.2641,0.0,0.0,0.0,0.0791,0.0225,0.1417,8494.63
143,65,24.52,13.33,32.23,0.5,34.51,16.5,48.61,0.2198,0.0917,0.3267,0.0,0.0,0.0,0.071,0.0024,0.1347,8538.06
144,55,29.13,19.44,38.84,0.2,44.58,25.9,64.86,0.2691,0.123,0.3902,0.0,-0.0,-0.0,0.0457,-0.0079,0.0955,8567.05
145,58,33.67,24.53,43.48,0.17,54.85,34.55,80.47,0.3108,0.1702,0.4531,0.0,0.0,0.0,0.0414,0.0018,0.1088,8591.49
146,59,37.79,27.88,46.36,0.06,65.22,42.16,93.04,0.3478,0.2124,0.483,0.0,0.0,0.0,0.042,-0.0074,0.093,8613.67
147,61,42.59,32.35,51.52,0.18,78.43,50.81,100.0,0.4019,0.2436,0.5492,0.0,-0.0,-0.0,0.0506,0.0166,0.0884,8626.91
148,57,47.05,36.08,56.67,0.53,89.34,59.92,100.0,0.4585,0.2779,0.6722,0.0,-0.0,-0.0,0.0609,0.0025,0.1301,8634.21
149,63,52.34,41.3,62.96,0.43,96.64,72.61,100.0,0.557,0.3345,0.918,0.0,0.0,0.0,0.098,0.0226,0.256,8637.36
150,59,58.05,45.98,70.15,0.38,99.55,89.07,100.0,0.7308,0.3949,1.3476,0.0,0.0,0.0,0.1717,0.0042,0.3998,8638.09
151,59,59.32,40.0,70.0,0.18,99.55,83.6,100.0,0.9203,0.2365,1.7142,0.0,0.0,0.0,0.184,-0.2079,0.3968,8638.22
152,61,58.35,37.21,70.97,0.53,99.06,69.16,100.0,1.0547,0.0876,2.1482,0.0,-0.0,-0.0,0.1647,-0.1835,0.4161,8638.49
153,60,59.28,39.13,75.0,0.38,99.24,80.72,100.0,1.2469,0.1357,2.6136,0.0,0.0,0.0,0.1858,-0.2251,0.4992,8639.19
154,60,59.33,42.11,80.95,0.06,99.65,91.85,100.0,1.4288,0.1941,2.88,0.0,0.0,0.0,0.1856,-0.1576,0.6158,8639.7
155,57,58.87,33.33,86.67,0.23,99.04,82.88,100.0,1.6257,0.1891,3.418,0.0,0.0,0.0,0.1744,-0.3366,0.7266,8639.92
156,60,59.1,0.0,100.0,0.05,95.74,24.25,100.0,1.7991,0.1198,4.3855,0.0,0.0,0.0,0.1823,-1.003,0.9992,8641.42
157,61,53.3,0.0,100.0,0.17,86.79,1.73,100.0,1.8915,-0.244,5.3318,0.0,0.0,0.0,0.0847,-1.0063,0.9992,8644.46
158,58,52.0,0.0,100.0,0.38,79.49,6.78,100.0,2.0197,-0.0507,5.9856,0.0,0.0,0.0,0.0973,-1.0062,0.9981,8650.01
159,60,44.71,0.0,100.0,0.5,77.8,4.31,100.0,1.9387,-0.0877,5.2698,0.0,0.0,0.0,-0.025,-1.0115,0.9993,8659.52
160,60,60.31,0.0,100.0,0.35,91.08,4.86,100.0,2.3414,0.0328,6.3135,0.0,0.0,0.0,0.3051,-1.0125,0.9993,8665.8
161,61,57.85,0.0,100.0,0.06,90.39,5.6,100.0,2.4789,-0.0986,7.2783,0.0,-0.0,-0.0,0.2246,-0.6589,0.9993,8670.44
162,59,56.51,0.0,100.0,0.21,87.02,4.37,100.0,2.6851,-0.2756,8.2397,0.0,0.0,0.0,0.2131,-0.5274,0.9993,8675.45
163,58,56.78,0.0,100.0,0.21,84.41,1.06,100.0,3.0143,-0.2798,9.2519,0.0,0.0,0.0,0.2444,-0.5017,0.9993,8681.36
164,58,54.5,0.0,100.0,0.16,80.06,0.0,100.0,3.2539,-0.2884,10.0,0.0,0.0,0.0,0.2203,-1.0092,0.9993,8689.09
165,59,53.57,0.0,100.0,0.09,77.77,0.0,100.0,3.3012,-0.3134,10.0,0.0,0.0,0.0,0.2444,-0.3471,0.9993,8698.44
